,name,salary,type,address,url,schedule,work_format,experience
601,Руководитель отдела управления данными,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129581594?host=hh.ru,Полный день,Гибрид,Более 6 лет
602,Talent Acquisition Senior Manager (Executive & Strategic Recruitment),No Info,Открытая,No Info,https://api.hh.ru/vacancies/130053342?host=hh.ru,Полный день,Гибрид,Более 6 лет
603,Руководитель департамента архитектуры,No Info,Открытая,No Info,https://api.hh.ru/vacancies/128321012?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
604,Data Engineer,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129930109?host=hh.ru,Полный день,Гибрид,От 3 до 6 лет
605,Lead product analyst / Лид команды продуктовой аналитики,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129469088?host=hh.ru,Полный день,Гибрид,От 1 года до 3 лет
606,Аналитик DWH,from 250000 to None in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129405224?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
607,Data engineer (iGaming),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129431950?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
608,Менеджер по сопровождению,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129943041?host=hh.ru,Полный день,На месте работодателя,От 1 года до 3 лет
609,Руководитель проекта развития AI в корпоративном бизнесе,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129380748?host=hh.ru,Полный день,Гибрид,От 3 до 6 лет
610,Бизнес-ассистент для CEO международной компании в сфере аналитики и цифровой безопасности,from 3000 to 6000 in USD,Открытая,No Info,https://api.hh.ru/vacancies/129575685?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
611,Аналитик данных (оценка недвижимости),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129787897?host=hh.ru,Полный день,На месте работодателя,От 1 года до 3 лет
612,Специалист по контекстной рекламе (МТС AdTech),No Info,Открытая,No Info,https://api.hh.ru/vacancies/128794032?host=hh.ru,Полный день,No Info,От 1 года до 3 лет
613,Финансовый менеджер по планированию и анализу коммерческих затрат,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129923172?host=hh.ru,Полный день,Гибрид,Более 6 лет
614,Аналитик ГИИ,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129400966?host=hh.ru,Полный день,No Info,От 1 года до 3 лет
615,Product Analyst / Продуктовый аналитик,from None to 200000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129536936?host=hh.ru,Удаленная работа,На месте работодателя,От 3 до 6 лет
616,Growth Manager (в офис в Ташкенте),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129661831?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
617,Аналитик по данным (Junior),from 80000 to 120000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/130013311?host=hh.ru,Полный день,На месте работодателя,От 1 года до 3 лет
618,Маркетинговый аналитик,from 60000 to None in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129814112?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
619,Аналитик данных (senior),No Info,Открытая,No Info,https://api.hh.ru/vacancies/130100670?host=hh.ru,Полный день,Гибрид,От 3 до 6 лет
620,Data Scientist,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129316395?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
621,"Старший аналитик данных, Ozon Банк",No Info,Открытая,No Info,https://api.hh.ru/vacancies/129378339?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
622,Senior Project Manager (RegTech),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129958639?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
623,Руководитель продукта (Платежи и переводы),No Info,Открытая,No Info,https://api.hh.ru/vacancies/125476054?host=hh.ru,Полный день,Гибрид,От 3 до 6 лет
624,SEO специалист,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129772179?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
625,Ведущий владелец продукта,No Info,Открытая,No Info,https://api.hh.ru/vacancies/128615390?host=hh.ru,Полный день,Гибрид,От 3 до 6 лет
626,Аналитик продаж,No Info,Открытая,No Info,https://api.hh.ru/vacancies/128609031?host=hh.ru,Полный день,Гибрид,От 1 года до 3 лет
627,Менеджер BI отчетности и баз данных / BI reporting & database manager,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129272883?host=hh.ru,Полный день,Гибрид,От 3 до 6 лет
628,Data Engineer,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129273188?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
629,Data analyst (банк),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129471026?host=hh.ru,Полный день,На месте работодателя,От 1 года до 3 лет
630,"Data Scientist, Диалоговый ИИ и ML сервисы",No Info,Открытая,No Info,https://api.hh.ru/vacancies/129769763?host=hh.ru,Удаленная работа,На месте работодателя,От 3 до 6 лет
631,Дата инженер,No Info,Открытая,No Info,https://api.hh.ru/vacancies/128761392?host=hh.ru,Удаленная работа,Удалённо,Более 6 лет
632,Аналитик данных отдела маркетинга \ Data & Business Insight Analyst,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129522746?host=hh.ru,Полный день,Гибрид,От 3 до 6 лет
633,Руководитель центра аналитики телеком метрик,No Info,Открытая,No Info,https://api.hh.ru/vacancies/128756679?host=hh.ru,Полный день,Гибрид,Более 6 лет
634,Системный Дата-аналитик,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129601545?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
635,Руководитель инвестиционной функции и финансовой эффективности / Инвестиционный менеджер,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129720596?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
636,Lead Data Scientist,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130248034?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
637,Системный архитектор в Центр геоинформационных решений,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129724862?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
638,Маркетолог-аналитик,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129283675?host=hh.ru,Полный день,Гибрид,От 3 до 6 лет
639,Технический руководитель домена (CTO),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129700865?host=hh.ru,Полный день,No Info,Более 6 лет
640,Junior OLAP-разработчик,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129964246?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
641,Data Engineer (Аналитика продавца),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129370174?host=hh.ru,Полный день,No Info,От 3 до 6 лет
642,"Старший инженер данных, Ozon Банк",No Info,Открытая,No Info,https://api.hh.ru/vacancies/129364282?host=hh.ru,Полный день,No Info,От 3 до 6 лет
643,Senior Data Analyst,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129673948?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
644,SQL-инженер,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129796931?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
645,Бизнес-аналитик по системам поддержки и качеству данных,No Info,Открытая,No Info,https://api.hh.ru/vacancies/128149878?host=hh.ru,Полный день,Гибрид,От 3 до 6 лет
646,Аналитик данных,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129827419?host=hh.ru,Полный день,На месте работодателя,От 1 года до 3 лет
647,Fullstack аналитик в команду Логистики,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129887909?host=hh.ru,Удаленная работа,Удалённо,Более 6 лет
648,BI-аналитик данных в Спорт Тех,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129973335?host=hh.ru,Полный день,No Info,От 1 года до 3 лет
649,Финансовый аналитик,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130208759?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
650,Менеджер продукта в VK Cloud,No Info,Открытая,No Info,https://api.hh.ru/vacancies/128522344?host=hh.ru,Полный день,Гибрид,От 3 до 6 лет
651,Финансовый бизнес-партнер,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129273999?host=hh.ru,Полный день,На месте работодателя,От 1 года до 3 лет
652,Архитектор решений WebSoft HCM (с фокусом на Обучение и развитие),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129621685?host=hh.ru,Полный день,Гибрид,От 3 до 6 лет
653,Data Engineer,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130113363?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
654,Data-архитектор,from None to 400000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129244955?host=hh.ru,Удаленная работа,Удалённо,Более 6 лет
655,Product Analyst (Marketing),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129616229?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
656,Product manager (Т-защита),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129670920?host=hh.ru,Полный день,Гибрид,От 3 до 6 лет
657,Разработчик n8n по автоматизации и интеграциям,from 150000 to None in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129369465?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
658,Руководитель команды автоматизации отчетности финансового учета и бухгалтерии,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130022588?host=hh.ru,Полный день,На месте работодателя,Более 6 лет
659,Аналитик данных,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129711146?host=hh.ru,Полный день,На месте работодателя,От 1 года до 3 лет
660,Руководитель отдела аналитики,No Info,Открытая,No Info,https://api.hh.ru/vacancies/128975067?host=hh.ru,Полный день,No Info,От 3 до 6 лет
661,Трафик-менеджер,from 180000 to 250000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129962310?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
662,Руководитель направления по разметке мастер-данных,No Info,Открытая,No Info,https://api.hh.ru/vacancies/128626325?host=hh.ru,Полный день,Гибрид,От 3 до 6 лет
663,CRM Data Analyst (WB Bank),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129350944?host=hh.ru,Полный день,На месте работодателя,От 1 года до 3 лет
664,Senior Manager / Data Analyst (Operations of FW Production Department),No Info,Открытая,No Info,https://api.hh.ru/vacancies/130163761?host=hh.ru,Полный день,Гибрид,От 3 до 6 лет
665,Руководитель направления автоматизации Gen AI,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129277415?host=hh.ru,Полный день,Гибрид,От 3 до 6 лет
666,Senior Data Analyst BI/DWH (Modeling & Marts) / Старший аналитик данных BI/DWH (Modeling & Marts),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129311723?host=hh.ru,Полный день,No Info,Более 6 лет
667,Chief Revenue Officer (Chief Digital Commercial Officer),No Info,Открытая,No Info,https://api.hh.ru/vacancies/128947201?host=hh.ru,Полный день,Гибрид,Более 6 лет
668,CX-исследователь,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129579888?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
669,Ведущий рекрутер/Менеджер по персоналу,from 100000 to None in RUR,Открытая,No Info,https://api.hh.ru/vacancies/130079982?host=hh.ru,Полный день,No Info,От 3 до 6 лет
670,"Marketing Team Lead (B2B, e-commerce)",No Info,Открытая,No Info,https://api.hh.ru/vacancies/130088879?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
671,Senior Python Developer (ОФИС),from 300000 to 350000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129458490?host=hh.ru,Полный день,На месте работодателя,Более 6 лет
672,Data Analyst,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129616710?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
673,Аналитик данных,No Info,Открытая,No Info,https://api.hh.ru/vacancies/128745418?host=hh.ru,Полный день,Гибрид,От 3 до 6 лет
674,Data Engineer (команда Greenplum),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129376135?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
675,"Системный аналитик DWH (Middle+), финтех",No Info,Открытая,No Info,https://api.hh.ru/vacancies/129809964?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
676,Golang-разработчик в команду Customer Data Platform,No Info,Открытая,No Info,https://api.hh.ru/vacancies/127196750?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
677,Product Lead,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129471544?host=hh.ru,Полный день,Гибрид,От 3 до 6 лет
678,Backend / Fullstack разработчик (TON / Telegram WebApp - аналитика + инфраструктура),from 250000 to None in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129557565?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
679,Account / project manager (digital),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129616623?host=hh.ru,Полный день,Гибрид,От 1 года до 3 лет
680,Системный аналитик (Мои доступы),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129694230?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
681,Data Scientist/Аналитик данных (Москва),No Info,Открытая,No Info,https://api.hh.ru/vacancies/128954578?host=hh.ru,Полный день,На месте работодателя,От 1 года до 3 лет
682,Аналитик маркетинга / Marketing Analyst (в составе Data Team),No Info,Открытая,No Info,https://api.hh.ru/vacancies/125165114?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
683,Product Owner в МФО,No Info,Открытая,No Info,https://api.hh.ru/vacancies/125892155?host=hh.ru,Полный день,Гибрид,От 3 до 6 лет
684,Chief Revenue Officer (Chief Digital Commercial Officer),No Info,Открытая,No Info,https://api.hh.ru/vacancies/124229552?host=hh.ru,Полный день,Гибрид,Более 6 лет
685,Технический продакт менедежер,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129672345?host=hh.ru,Удаленная работа,На месте работодателя,От 3 до 6 лет
686,Продуктовый аналитик в команду Дзена,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130105153?host=hh.ru,Полный день,Гибрид,Более 6 лет
687,Head of Marketing (CMO),from 280000 to None in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129435818?host=hh.ru,Полный день,Гибрид,Более 6 лет
688,"Data Steward, Ozon Банк",No Info,Открытая,No Info,https://api.hh.ru/vacancies/125449263?host=hh.ru,Полный день,No Info,От 3 до 6 лет
689,Head of SEO / Руководитель отдела поискового продвижения,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129457791?host=hh.ru,Полный день,Гибрид,От 1 года до 3 лет
690,Аналитик MVP продуктов,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129769389?host=hh.ru,Полный день,No Info,От 1 года до 3 лет
691,Начальник отдела электронной коммерции,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129913925?host=hh.ru,Полный день,На месте работодателя,Более 6 лет
692,Директор по маркетингу (SaaS),from None to 300000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129593115?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
693,DevOps-инженер (Hadoop),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129719264?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
694,Портфельный риск менеджер,from None to 350000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129742712?host=hh.ru,Полный день,Гибрид,От 3 до 6 лет
695,CRM-маркетолог / Campaign manager (B2B),No Info,Открытая,No Info,https://api.hh.ru/vacancies/128136739?host=hh.ru,Полный день,Гибрид,От 1 года до 3 лет
696,Product Manager Middle (Fintech),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129527441?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
697,Инженер данных DWH в Путешествия,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129617960?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
698,"Руководитель команды по развитию и сопровождению отчетности (Data Platform, операционный блок)",No Info,Открытая,No Info,https://api.hh.ru/vacancies/129298744?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
699,Senior Kotlin Backend Developer,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129586404?host=hh.ru,Полный день,Гибрид,Более 6 лет
700,Менеджер по развитию маркетплейсов / Marketplace Growth Manager в SHIKсosmetics,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129954075?host=hh.ru,Полный день,Гибрид,От 1 года до 3 лет
701,Data-аналитик,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129958260?host=hh.ru,Полный день,На месте работодателя,От 1 года до 3 лет
702,Дата- партнер,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129397903?host=hh.ru,Удаленная работа,Удалённо,Более 6 лет
703,Аналитик в Центр стратегической аналитики и больших данных НИУ ВШЭ,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129512342?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
704,Data analyst,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129466228?host=hh.ru,Полный день,No Info,От 1 года до 3 лет
705,Data аналитик,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129724463?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
706,CRM-маркетолог в VK Знакомства,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129793344?host=hh.ru,Полный день,Гибрид,От 3 до 6 лет
707,Директор по маркетингу (Head of Marketing),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129356506?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
708,Технолог/Бизнес-аналитик,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129932823?host=hh.ru,Полный день,Гибрид,От 3 до 6 лет
709,Junior + \ Middle Data Scientist в команду моделирования розничного бизнеса,No Info,Открытая,No Info,https://api.hh.ru/vacancies/126743751?host=hh.ru,Полный день,Гибрид,От 1 года до 3 лет
710,Системный аналитик – Tantor DLH,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129612155?host=hh.ru,Полный день,Гибрид,От 3 до 6 лет
711,Data Engineer,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129382404?host=hh.ru,Полный день,На месте работодателя,От 1 года до 3 лет
712,Специалист по медиапланированию (МТС AdTech),No Info,Открытая,No Info,https://api.hh.ru/vacancies/130013378?host=hh.ru,Полный день,Гибрид,От 1 года до 3 лет
713,Портфельный менеджер,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129380109?host=hh.ru,Полный день,Гибрид,От 3 до 6 лет
714,Senior Data Analyst (команда Анализ клиентской базы и поиск инсайтов),No Info,Открытая,No Info,https://api.hh.ru/vacancies/130001367?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
715,Full Stack Data (engineer + analyst),from None to 220000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/127869009?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
716,Бизнес-аналитик (BPMSoft/Creatio),No Info,Открытая,No Info,https://api.hh.ru/vacancies/128856256?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
717,Project Manager SMM,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129323132?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
718,QA Engineer Automation JAVA (Junior/Middle/Senior),No Info,Открытая,No Info,https://api.hh.ru/vacancies/127027866?host=hh.ru,Полный день,На месте работодателя,От 1 года до 3 лет
719,Руководитель направления экономической эффективности,No Info,Открытая,No Info,https://api.hh.ru/vacancies/127412563?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
720,Аналитик данных (ETA/RTA 2ГИС),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129750817?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
721,Data Scientist,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129289087?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
722,Менеджер по мобильной рекламе / Mobile User Acquisition Manager (МТС AdTech),No Info,Открытая,No Info,https://api.hh.ru/vacancies/127109108?host=hh.ru,Полный день,Гибрид,От 1 года до 3 лет
723,Senior Python разработчик (Команда Моделирования и исследования данных),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129406414?host=hh.ru,Полный день,На месте работодателя,Более 6 лет
724,Senior/ Middle Data Engineer (Офис),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129557067?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
725,Python / AI Developer (GenAI & Data Systems),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129881903?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
726,Руководитель дата-проектов в VK,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130042015?host=hh.ru,Полный день,No Info,От 3 до 6 лет
727,Middle Data Engineer (GameDev),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129798071?host=hh.ru,Полный день,No Info,От 1 года до 3 лет
728,Аналитик данных,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129493743?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
729,Маркетолог (Growth hacker),from 80000 to 130000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129625019?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
730,Customer Insights Analyst / Продуктовый аналитик,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129765209?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
731,Ведущий менеджер по управлению доходами,No Info,Открытая,No Info,https://api.hh.ru/vacancies/127354928?host=hh.ru,Полный день,No Info,От 3 до 6 лет
732,Middle Data\Product Analyst,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129710639?host=hh.ru,Полный день,На месте работодателя,Более 6 лет
733,Аналитик по планированию продаж,No Info,Открытая,No Info,https://api.hh.ru/vacancies/128609042?host=hh.ru,Полный день,Гибрид,От 3 до 6 лет
734,Лидер HR-аналитики и повышения эффективности персонала (Head of Human Analytics & Effectiveness),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129405648?host=hh.ru,Полный день,На месте работодателя,Более 6 лет
735,Data scientist middle на проект AutoML,No Info,Открытая,No Info,https://api.hh.ru/vacancies/128878068?host=hh.ru,Полный день,Гибрид,От 3 до 6 лет
736,Data Scientist NLP (портал gosuslugi.ru),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129653732?host=hh.ru,Полный день,No Info,От 3 до 6 лет
737,DevOps Engineer (Kubernetes / Big Data Platform),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129813391?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
738,SEO Лид / Head of SEO,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129762308?host=hh.ru,Удаленная работа,На месте работодателя,От 3 до 6 лет
739,Full Stack Data Analytics/Engineering,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129597288?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
740,Аналитик данных / Дата инженер,No Info,Открытая,No Info,https://api.hh.ru/vacancies/128561495?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
741,Digital Product Manager/ Менеджер цифровых продуктов,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129381356?host=hh.ru,Полный день,Гибрид,От 3 до 6 лет
742,"Senior Data Engineer [Big Data, МТС Веб Сервисы]",No Info,Открытая,No Info,https://api.hh.ru/vacancies/129487835?host=hh.ru,Полный день,Гибрид,От 3 до 6 лет
743,Старший ИТ бизнес-партнер,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129570064?host=hh.ru,Полный день,Гибрид,От 3 до 6 лет
744,Middle Data engineer ( Scala),No Info,Открытая,No Info,https://api.hh.ru/vacancies/130205344?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
745,Младший аналитик сопровождения релизов,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129661648?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
746,Data-инженер (финансовый сектор),No Info,Открытая,No Info,https://api.hh.ru/vacancies/130015341?host=hh.ru,Полный день,На месте работодателя,От 1 года до 3 лет
747,Менеджер SEO-проектов (МТС AdTech),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129863989?host=hh.ru,Полный день,Гибрид,От 3 до 6 лет
748,"Руководитель проекта (Giga B2B ""Салют для Бизнеса"")",No Info,Открытая,No Info,https://api.hh.ru/vacancies/130169139?host=hh.ru,Полный день,Гибрид,От 3 до 6 лет
749,Ведущий системный аналитик (Observability),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129510170?host=hh.ru,Полный день,На месте работодателя,Более 6 лет
750,"Аналитик данных (CRM, SQL)",No Info,Открытая,No Info,https://api.hh.ru/vacancies/129957747?host=hh.ru,Полный день,На месте работодателя,От 1 года до 3 лет
751,Data Engineer (Сервисные коммуникации),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129667959?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
752,Менеджер по управлению данными,No Info,Открытая,No Info,https://api.hh.ru/vacancies/127524213?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
753,"Data Engineer / Data Analyst (преподаватель курсов по Airflow, ClickHouse)",No Info,Открытая,No Info,https://api.hh.ru/vacancies/130236044?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
754,"Руководитель отдела продаж ключевым клиентам (enterprise, b2b)",No Info,Открытая,No Info,https://api.hh.ru/vacancies/129713447?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
755,Business Analyst,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129373722?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
756,Data analyst (Сервисы роботизации),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129417600?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
757,Head of Retention (iGaming),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129597630?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
758,Руководитель направления в продукт кредитные карты CRM,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129693441?host=hh.ru,Полный день,No Info,От 3 до 6 лет
759,Начальник отдела регулярной отчетности,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130251472?host=hh.ru,Полный день,На месте работодателя,Нет опыта
760,System Analyst DWH,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129973377?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
761,Консультант/Системный аналитик,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129796132?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
762,"QA automation engineer (Python, ML-сервисы)",No Info,Открытая,No Info,https://api.hh.ru/vacancies/129480912?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
763,Руководитель центра корпоративной архитектуры,No Info,Открытая,No Info,https://api.hh.ru/vacancies/128833591?host=hh.ru,Полный день,На месте работодателя,Более 6 лет
764,Руководитель отдела маркетинговой аналитики,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129746241?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
765,Старший аналитик HR‑данных / Senior People Analytics (HR-департамент),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129748991?host=hh.ru,Полный день,Гибрид,От 1 года до 3 лет
766,QA Automation Engineer (Java),No Info,Открытая,No Info,https://api.hh.ru/vacancies/130173751?host=hh.ru,Полный день,На месте работодателя,От 1 года до 3 лет
767,Business Data Analyst,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129971317?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
